"id","agent","alpha","gamma","epsilon","training_index","train_performance","test_performance","num_states_visited","avg_visits_per_state","avg_score","avg_guesses","training_delta_raw","training_delta_rms"
"SarsaAgent-0.05-0.75-0.05","SarsaAgent","0.05","0.75","0.05","17","0.8830645161290323","0.8581314878892734","237","41.232067510548525","-6.353806228373703","4.71280276816609","95.71633957046537","0.4733094312216245"
"SarsaAgent-0.05-0.75-0.05","SarsaAgent","0.05","0.75","0.05","18","0.907258064516129","0.9013840830449827","237","40.78481012658228","-5.150519031141869","4.4809688581314875","86.73845336816194","0.36107775388729674"
"SarsaAgent-0.05-0.75-0.05","SarsaAgent","0.05","0.75","0.05","19","0.9061059907834101","0.8927335640138409","237","40.219409282700425","-5.865051903114187","4.631487889273356","79.65967363986599","0.3548181672952724"
"SarsaAgent-0.05-0.75-0.05","SarsaAgent","0.05","0.75","0.05","20","0.9147465437788018","0.9134948096885813","237","40.26160337552743","-4.948096885813149","4.458477508650519","76.63341441375249","0.3357132637469272"
"SarsaAgent-0.05-0.75-0.05","SarsaAgent","0.05","0.75","0.05","21","0.9049539170506913","0.9065743944636678","237","40.25316455696203","-4.946366782006921","4.41522491349481","78.72165980025842","0.35167041117878167"
"SarsaAgent-0.05-0.75-0.05","SarsaAgent","0.05","0.75","0.05","22","0.9147465437788018","0.889273356401384","237","40.22784810126582","-5.689446366782007","4.598615916955017","73.0214701925684","0.3045530400134798"
"SarsaAgent-0.05-0.75-0.05","SarsaAgent","0.05","0.75","0.05","23","0.9107142857142857","0.8823529411764706","237","40.43037974683544","-5.891868512110727","4.6678200692041525","77.700303060354","0.3354487552038229"
"SarsaAgent-0.05-0.75-0.05","SarsaAgent","0.05","0.75","0.05","24","0.8899769585253456","0.9204152249134948","237","41.18987341772152","-4.744809688581315","4.4100346020761245","87.16659750442882","0.3667588184598261"
"SarsaAgent-0.05-0.75-0.05","SarsaAgent","0.05","0.75","0.05","25","0.9003456221198156","0.8667820069204152","237","40.565400843881854","-6.077854671280277","4.717993079584775","82.71841298235049","0.3673548686627182"
"SarsaAgent-0.05-0.75-0.05","SarsaAgent","0.05","0.75","0.05","26","0.896889400921659","0.916955017301038","237","40.81856540084388","-4.895328719723183","4.420415224913495","85.89666770607967","0.3658754665380646"
"SarsaAgent-0.05-0.75-0.05","SarsaAgent","0.05","0.75","0.05","27","0.9043778801843319","0.9186851211072664","237","40.30801687763713","-4.980103806228374","4.430795847750865","76.73145960878803","0.37216683694116787"
"SarsaAgent-0.05-0.75-0.05","SarsaAgent","0.05","0.75","0.05","28","0.8997695852534562","0.9152249134948097","237","40.49789029535865","-4.870242214532872","4.408304498269896","75.72860133710964","0.35929281841621596"
"SarsaAgent-0.05-0.75-0.05","SarsaAgent","0.05","0.75","0.05","29","0.9141705069124424","0.9083044982698962","237","39.82700421940928","-5.137543252595155","4.510380622837371","75.30582566309852","0.35220474006062696"
"SarsaAgent-0.05-0.75-0.05","SarsaAgent","0.05","0.75","0.05","30","0.9176267281105991","0.9186851211072664","237","40.13502109704641","-4.916089965397924","4.387543252595155","70.33853922344989","0.30053273474990216"
"SarsaAgent-0.05-0.75-0.05","SarsaAgent","0.05","0.75","0.05","31","0.9055299539170507","0.8529411764705882","237","40.16877637130802","-6.469723183391004","4.728373702422146","74.23685568540623","0.32187117042328905"
"SarsaAgent-0.05-0.75-0.05","SarsaAgent","0.05","0.75","0.05","32","0.9049539170506913","0.8806228373702422","237","40.70886075949367","-5.848615916955017","4.645328719723183","78.75856482137922","0.3614785804285573"
"SarsaAgent-0.05-0.75-0.05","SarsaAgent","0.05","0.75","0.05","33","0.8986175115207373","0.9117647058823529","237","40.666666666666664","-5.122837370242214","4.493079584775087","71.92793385238473","0.3106983563364114"
"SarsaAgent-0.05-0.75-0.05","SarsaAgent","0.05","0.75","0.05","34","0.9038018433179723","0.9134948096885813","237","40.45147679324894","-5.625432525951557","4.619377162629758","76.99111304922887","0.3235937917050788"
"SarsaAgent-0.05-0.75-0.05","SarsaAgent","0.05","0.75","0.05","35","0.9026497695852534","0.9065743944636678","237","40.434599156118146","-4.922145328719723","4.432525951557094","80.29665977964196","0.3319762616516184"
"SarsaAgent-0.05-0.75-0.05","SarsaAgent","0.05","0.75","0.05","36","0.9038018433179723","0.9290657439446367","237","40.40084388185654","-4.887543252595155","4.373702422145329","74.9636508744546","0.3084608217140509"
"SarsaAgent-0.05-0.75-0.05","SarsaAgent","0.05","0.75","0.05","37","0.907258064516129","0.8979238754325259","237","40.29957805907173","-5.914359861591696","4.629757785467128","76.39266874234961","0.34742255329495647"
"SarsaAgent-0.05-0.75-0.05","SarsaAgent","0.05","0.75","0.05","38","0.9297235023041475","0.9134948096885813","237","39.561181434599156","-5.061418685121107","4.5121107266435985","74.65519056889522","0.32941002467039876"
"SarsaAgent-0.05-0.75-0.05","SarsaAgent","0.05","0.75","0.05","39","0.896889400921659","0.9238754325259516","238","40.529411764705884","-4.840830449826989","4.442906574394463","89.85385138933982","0.39671092328161567"
"SarsaAgent-0.05-0.75-0.05","SarsaAgent","0.05","0.75","0.05","40","0.8853686635944701","0.870242214532872","238","40.97899159663866","-6.01643598615917","4.6678200692041525","75.92088350087485","0.3460646146417486"
"SarsaAgent-0.05-0.75-0.05","SarsaAgent","0.05","0.75","0.05","41","0.902073732718894","0.9152249134948097","238","40.60504201680672","-4.782006920415225","4.4100346020761245","82.39857288640873","0.34005571317082994"
"SarsaAgent-0.05-0.75-0.05","SarsaAgent","0.05","0.75","0.05","42","0.9164746543778802","0.9048442906574394","238","39.95378151260504","-5.007785467128028","4.437716262975779","74.16341785943692","0.34931398012332493"
"SarsaAgent-0.05-0.75-0.05","SarsaAgent","0.05","0.75","0.05","43","0.9032258064516129","0.903114186851211","238","40.516806722689076","-5.923875432525952","4.6522491349480966","76.08753740864043","0.3633404692044644"
"SarsaAgent-0.05-0.75-0.05","SarsaAgent","0.05","0.75","0.05","44","0.9095622119815668","0.916955017301038","238","40.424369747899156","-4.833044982698962","4.382352941176471","84.9612199348117","0.3777009753641846"
"SarsaAgent-0.05-0.75-0.05","SarsaAgent","0.05","0.75","0.05","45","0.9228110599078341","0.8719723183391004","238","39.83613445378151","-6.127162629757786","4.679930795847751","76.59130153835423","0.31438014420311133"
"SarsaAgent-0.05-0.75-0.05","SarsaAgent","0.05","0.75","0.05","46","0.8951612903225806","0.8858131487889274","238","40.936974789915965","-5.868512110726644","4.640138408304498","87.53768674571957","0.3800244792526014"
"SarsaAgent-0.05-0.75-0.05","SarsaAgent","0.05","0.75","0.05","47","0.9262672811059908","0.9221453287197232","238","39.80672268907563","-4.9809688581314875","4.463667820069205","77.13156251117336","0.3722559063452326"
"SarsaAgent-0.05-0.75-0.05","SarsaAgent","0.05","0.75","0.05","48","0.9043778801843319","0.916955017301038","238","40.470588235294116","-5.041522491349481","4.453287197231834","77.61947190938254","0.32730993031714073"
