"id","agent","alpha","gamma","epsilon","training_index","test_performance","num_states_visited","avg_visits_per_state","avg_score","avg_guesses","training_delta_raw","training_delta_rms"
"SarsaAgent-0.05-0.90-0.05","SarsaAgent","0.05","0.9","0.05","38","0.889273356401384","239","40.60251046025105","-5.897058823529412","4.704152249134948","72.77127382340346","0.30941162746075984"
"SarsaAgent-0.05-0.90-0.05","SarsaAgent","0.05","0.9","0.05","39","0.9152249134948097","239","40.31380753138075","-4.93598615916955","4.467128027681661","74.59568668465185","0.299003704563391"
"SarsaAgent-0.05-0.90-0.05","SarsaAgent","0.05","0.9","0.05","40","0.8754325259515571","239","40.15481171548117","-6.099480968858131","4.693771626297578","71.92006601419862","0.3229711453791989"
"SarsaAgent-0.05-0.90-0.05","SarsaAgent","0.05","0.9","0.05","41","0.9048442906574394","239","40.87866108786611","-4.841695501730104","4.406574394463668","95.6979170454841","0.3697671134385694"
"SarsaAgent-0.05-0.90-0.05","SarsaAgent","0.05","0.9","0.05","42","0.9290657439446367","239","39.75313807531381","-4.653979238754325","4.3788927335640135","87.6426668537942","0.436729866724601"
"SarsaAgent-0.05-0.90-0.05","SarsaAgent","0.05","0.9","0.05","43","0.9100346020761245","239","39.62343096234309","-4.963667820069205","4.437716262975779","69.08010453313742","0.3190688144278708"
"SarsaAgent-0.05-0.90-0.05","SarsaAgent","0.05","0.9","0.05","44","0.889273356401384","239","39.78242677824268","-5.246539792387543","4.5","67.21288239072669","0.3077225603561984"
"SarsaAgent-0.05-0.90-0.05","SarsaAgent","0.05","0.9","0.05","45","0.889273356401384","239","40.43933054393305","-5.825259515570934","4.664359861591696","85.35612750622137","0.42800632171072484"
"SarsaAgent-0.05-0.90-0.05","SarsaAgent","0.05","0.9","0.05","46","0.8875432525951558","239","40.01255230125523","-5.842560553633218","4.653979238754325","72.40828963813638","0.3337181699568666"
"SarsaAgent-0.05-0.90-0.05","SarsaAgent","0.05","0.9","0.05","47","0.8823529411764706","239","39.90794979079498","-5.823529411764706","4.685121107266436","70.0131643782174","0.30648343101013753"
"SarsaAgent-0.05-0.90-0.05","SarsaAgent","0.05","0.9","0.05","48","0.9048442906574394","239","40.2092050209205","-5.005190311418685","4.4342560553633215","72.02319860233085","0.2980257208047268"
"SarsaAgent-0.05-0.90-0.05","SarsaAgent","0.05","0.9","0.05","49","0.9083044982698962","239","39.74476987447699","-5.083910034602076","4.484429065743945","71.03649253982542","0.3289545263247302"
"SarsaAgent-0.05-0.90-0.05","SarsaAgent","0.05","0.9","0.05","50","0.9342560553633218","239","39.76987447698745","-4.844290657439446","4.444636678200692","61.31952951657996","0.27936528923670323"
"SarsaAgent-0.05-0.90-0.05","SarsaAgent","0.05","0.9","0.05","51","0.9325259515570934","239","40.26778242677824","-4.811418685121107","4.444636678200692","71.78727026107111","0.3277733446400869"
"SarsaAgent-0.05-0.90-0.05","SarsaAgent","0.05","0.9","0.05","52","0.9204152249134948","239","40.30962343096234","-4.95242214532872","4.460207612456747","76.19660382734527","0.3023519589778584"
"SarsaAgent-0.05-0.90-0.05","SarsaAgent","0.05","0.9","0.05","53","0.9204152249134948","239","40.13389121338912","-4.846020761245675","4.423875432525952","75.22476599689011","0.33594873237046236"
"SarsaAgent-0.05-0.90-0.05","SarsaAgent","0.05","0.9","0.05","54","0.9013840830449827","239","40.04602510460251","-5.078719723183391","4.437716262975779","72.28235701680605","0.3050877262445771"
"SarsaAgent-0.05-0.90-0.05","SarsaAgent","0.05","0.9","0.05","55","0.8875432525951558","239","39.97489539748954","-5.980103806228374","4.698961937716263","67.20257682659204","0.3423349637065113"
